Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Consiracionista?,Post Negacionista?
aloeterapeuta,https://www.tiktok.com/@aloeterapeuta,0,0,0,Terapeuta,1,https://www.tiktok.com/@aloeterapeuta/video/7466565404958313734,A obrigatoriedade de vacinas faz com que o Brasil não seja democrático,1,0,1
tecenfermagem00,https://www.tiktok.com/@tecenfermagem00,0,0,0,Enfermeira,1,https://www.tiktok.com/@tecenfermagem00/video/7475353872454700293,A covid está voltando,0,0,0
isabelyneves19,https://www.tiktok.com/@isabelyneves19,0,0,0,,,https://www.tiktok.com/@isabelyneves19/video/7464959082512928006,A covid está voltando,0,0,0
ocaradosapartamentos,https://www.tiktok.com/@ocaradosapartamentos,0,0,0,Corretor de imóveis,1,https://www.tiktok.com/@ocaradosapartamentos/video/7444006331587022135,Alerta de surto de covid,0,0,0
eu_lanaa0,https://www.tiktok.com/@eu_lanaa0,0,0,0,,,https://www.tiktok.com/@eu_lanaa0/video/7467981395734973701,Covid que virá depois do carnaval será a pior da história,0,0,0
ivannlima2,https://www.tiktok.com/@ivannlima2,0,1,0,,,https://www.tiktok.com/@ivannlima2/photo/7475290806077689093,Alto número de infectados e de mortos por covid,0,0,1
videntesdobrasil,https://www.tiktok.com/@videntesdobrasil,0,1,0,,,https://www.tiktok.com/@videntesdobrasil/video/7472774217881144581?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Covid voltando com força na Bahia,0,0,0
luciano.melo204,https://www.tiktok.com/@luciano.melo204,0,1,0,,,https://www.tiktok.com/@luciano.melo204/video/7475506705036561669?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Lula demite Nísia  e ela sai sem explicar por que não tomou a vacina,1,0,1
6g.o9,https://www.tiktok.com/@6g.o9,1,0,1,,,https://www.tiktok.com/@6g.o9/video/7475058993493200183?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Por que tantas mortes por conta da vacina?,1,0,1
videntechalinegrazik,https://www.tiktok.com/@videntechalinegrazik,0,0,0,,,https://www.tiktok.com/@videntechalinegrazik/video/7195967507285495046?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Uma nova vacina vai trazer problemas,0,1,0
marcioespiritosanto,https://www.tiktok.com/@marcioespiritosanto,0,0,0,,,https://www.tiktok.com/@marcioespiritosanto/video/7270910014032776453?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Nova variante é mais eficaz em infectar vacicnados,1,0,1
sandrodossantosss,https://www.tiktok.com/@sandrodossantosss,0,0,0,,,https://www.tiktok.com/@sandrodossantosss/video/7475360523710647607?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,"Não vá pro carnaval, a covid está voltando",0,0,0
maryvrfc,https://www.tiktok.com/@maryvrfc,0,0,0,,,https://www.tiktok.com/@maryvrfc/video/7475159357995502903?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Carnaval chegando e hospital lotado,0,0,0
